TXN1B85AF24,CREATE,0902596,,2500,2025-10-31T22:45:02.791127100
TXNC54D56D2,CREATE,1843987,,1500,2025-10-31T23:00:44.147366600
TXN387D2501,CREATE,2863978,,1500,2025-10-31T23:17:44.141870
TXNA51B3889,CREATE,3223290,,3500,2025-10-31T23:23:43.454348
TXNA09C3965,CREATE,2112506,,3000,2025-11-01T10:11:52.709522
TXNCB2D8D78,CREATE,3289834,,5000,2025-11-01T10:31:31.089463600
TXN411FE52A,CREATE,3329374,,4000,2025-11-01T10:32:09.451775300
TXNE82A021E,DEPOSIT,3329374,,400,2025-11-01T10:32:45.357570700
TXN83464B77,WITHDRAW,3289834,,300,2025-11-01T10:33:17.740394200
TXNECF027FE,TRANSFER,3289834,3329374,500,2025-11-01T10:34:03.001873700
TXN9F5FAD67,CREATE,4665365,,2500,2025-11-01T10:54:26.342903500
TXNEAFD94DF,CREATE,4698653,,3000,2025-11-01T10:54:58.723110800
TXN9C6902CA,DEPOSIT,4698653,,400,2025-11-01T10:57:03.284855300
TXNF2ADCC1C,CREATE,6647272,,2000,2025-11-01T17:00:47.632745100
TXNE1FB9105,CREATE,7119507,,4000,2025-11-01T17:08:39.853376500
TXNDD9FCEC8,CREATE,7178412,,4500,2025-11-01T17:09:38.470197200
TXN79A7E5BD,DEPOSIT,7119507,,200,2025-11-01T17:10:41.866282800
TXN91FFF958,WITHDRAW,7178412,,300,2025-11-01T17:11:12.887466700
TXND19D03E6,TRANSFER,7178412,7119507,200,2025-11-01T17:12:16.020201
